Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,BH-00700,B,3,1080.00,0.00,51.30,3.59,0.00,54.89 25032019
S50H19,SH-00693,S,2,1088.50,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00694,S,1,1088.50,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00695,S,1,1088.50,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00696,S,5,1088.50,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00697,S,2,1088.50,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00698,S,9,1088.50,0.00,153.90,10.77,0.00,164.67
S50H19,BH-00699,B,7,1080.00,0.00,119.70,8.38,0.00,128.08
S50H19,BH-00700,B,3,1080.00,0.00,51.30,3.59,0.00,54.89 26032019
S50H19,SH-00586,S,1,1087.80,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00587,S,1,1087.70,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00588,S,3,1087.70,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00589,S,8,1087.70,0.00,136.80,9.58,0.00,146.38
S50H19,SH-00590,S,3,1087.70,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00591,S,2,1087.70,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00592,S,1,1087.70,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00593,S,1,1087.70,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00594,B,7,1085.70,0.00,119.70,8.38,0.00,128.08
S50H19,BU-00595,B,23,1085.70,0.00,393.30,27.53,0.00,420.83
S50H19,SH-00596,S,4,1089.00,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00597,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00598,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00599,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00600,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00601,S,2,1089.00,0.00,34.20,2.37,0.00,36.57 27032019
S50H19,BH-00585,B,1,1084.00,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00586,B,3,1084.00,0.00,51.30,3.59,0.00,54.89
S50H19,BH-00587,B,5,1084.00,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00588,B,1,1084.00,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00589,B,5,1084.00,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00590,B,5,1084.00,0.00,85.50,5.99,0.00,91.49 28032019
S50H19C1075,BH-88888,B,8,13.83,22128.00,0.00,0.00,0.00,0.00
S50H19C1100,BH-88888,B,10,0.00,0.00,0.00,0.00,0.00,0.00
S50H19P1100,BH-88888,B,5,11.17,11170.00,0.00,0.00,0.00,0.00 28032019
